category,number,prompt,correct
Aiwmi Ccra,3,Case Facts as on March 31 2012 -Mark Construction Company (MCC) has bagged a contract for construction of a large dam and hydro power project on river Shivna in Madhya Pradesh (MP). The project is also of relevance from the irrigation perspective due to its location and as per the agreement MCC will have to undertake construction of web of canals approach road to dam power house and other ancillary units. MCC is promoted by Mr. Thomas Mark who is a MP from the ruling party which recently formed government in MP. Historically MCC has been engaged into construction of rural roads small bridges and railway platforms on contract basis for the Government.MCC will have a separate special purpose vehicle (SPV) floated for this venture.The hydro power project comes under the public private partnership scheme of the Government of MP where in the private partner builds owns operates and transfers (BOOT) the hydro power plant. The detailed terms of the hydro power project agreement are as follows:1. The construction of the dam canals and hydro power plant shall be undertaken by the contractor. The Government of MP will have to acquire land which will submerge on construction of dam and shall rehabilitate the owners of land.2. MCC shall have right to operate the hydro power project from date of commencement of commercial operations (DCCO) for a period of 20 years and shall transfer the project to Government thereafter. Further SPV shall be tax exempt for a period of five years from DCCO i.e. FY17-FY21.3. The power project is of 600 megawatts (MW) shall comprise 4 units of 150 MW each. The estimated cost of project is about INR3 500 Million to be spent over a period of 4 year(s) the project is estimated to be commercially operational by April 1 2016 with two units operational om same day and one unit each will be operational on April 1 2017 and April 1 2018.4. Means of finance:Means of Finance INR Million -Government Aid (To be classified as Equity) 500Equity 900 Debt 21005. Amount if expenditure estimated in various years is as follows:Funding -Cost of Project -INR Million -Debt -Govt Aid -Equity -Total -FY13 (April to march)700250450700FY14 -12005002504501200FY15 -12001200-1200FY15 -400400-400Debt shall bear a fixed rate of interest of 10% and all interest till DCCO shall be added to the principal. The expected principal along with capitalized interest is expected to be INR2 400 Million (i.e.INR2100 Million debt plus INR300 Million capitalized interest). The repayment of the same shall be in 12 equated annual installments starting from FY17.Brief projections for the period of FY17 to FY21 are given below:Developments as on March 31 2015The project manager for the SPV made following comments at a press conferee on March 31 2015:As you all are aware we were running bang on schedule till we last met on December 21 2014. From today we are just left with one more year to complete the project in time. However the flash floods which struck our dam site on this March 15 2015 have created havoc in the region. I shall not point out the loss of lives in the region as you all are well aware of those. Our project has also been badly hit due to the same and we have been assessing the damage over the last one week. After analyzing damage we have made changes in project schedule. Now we will be making only one unit of 150 MW operational on April 1 2016 and 1 unit each will be added in each of subsequent year(s).Development as on September 30 2015Post the flash floods lot of environmentalists started raising issues of changes in environment due to construction of large number of dams. A few Public InterestLitigations (PILs) have been filed in various courts.Honorable High Court of MP on September 27 2015 banned construction of any dams in the region and banned permissions for new dams till next hearing scheduled on November 30 2015. MCC in its press release has indicated that they will apply to the higher court on the matter.After the developments of March 31 2015 assuming revenues are directly linked to the power production and the EBITDA margins remain intact for the year as were projected compute the revised interest coverage ratio for FY17 and FY18? A. FY17: 0.90; FY18: 1.85 B. FY17: 1.85; FY18: 2.93 C. FY17: 0.49; FY18: 0.97 D. FY17: 1.80; FY18: 2.78 ,B
Aiwmi Ccra,4,Case Facts as on March 31 2012 -Mark Construction Company (MCC) has bagged a contract for construction of a large dam and hydro power project on river Shivna in Madhya Pradesh (MP). The project is also of relevance from the irrigation perspective due to its location and as per the agreement MCC will have to undertake construction of web of canals approach road to dam power house and other ancillary units. MCC is promoted by Mr. Thomas Mark who is a MP from the ruling party which recently formed government in MP. Historically MCC has been engaged into construction of rural roads small bridges and railway platforms on contract basis for the Government.MCC will have a separate special purpose vehicle (SPV) floated for this venture.The hydro power project comes under the public private partnership scheme of the Government of MP where in the private partner builds owns operates and transfers (BOOT) the hydro power plant. The detailed terms of the hydro power project agreement are as follows:1. The construction of the dam canals and hydro power plant shall be undertaken by the contractor. The Government of MP will have to acquire land which will submerge on construction of dam and shall rehabilitate the owners of land.2. MCC shall have right to operate the hydro power project from date of commencement of commercial operations (DCCO) for a period of 20 years and shall transfer the project to Government thereafter. Further SPV shall be tax exempt for a period of five years from DCCO i.e. FY17-FY21.3. The power project is of 600 megawatts (MW) shall comprise 4 units of 150 MW each. The estimated cost of project is about INR3 500 Million to be spent over a period of 4 year(s) the project is estimated to be commercially operational by April 1 2016 with two units operational om same day and one unit each will be operational on April 1 2017 and April 1 2018.4. Means of finance:Means of Finance INR Million -Government Aid (To be classified as Equity) 500Equity 900 Debt 21005. Amount if expenditure estimated in various years is as follows:Funding -Cost of Project -INR Million -Debt -Govt Aid -Equity -Total -FY13 (April to march)700250450700FY14 -12005002504501200FY15 -12001200-1200FY15 -400400-400Debt shall bear a fixed rate of interest of 10% and all interest till DCCO shall be added to the principal. The expected principal along with capitalized interest is expected to be INR2 400 Million (i.e.INR2100 Million debt plus INR300 Million capitalized interest). The repayment of the same shall be in 12 equated annual installments starting from FY17.Brief projections for the period of FY17 to FY21 are given below:Developments as on March 31 2015The project manager for the SPV made following comments at a press conferee on March 31 2015:As you all are aware we were running bang on schedule till we last met on December 21 2014. From today we are just left with one more year to complete the project in time. However the flash floods which struck our dam site on this March 15 2015 have created havoc in the region. I shall not point out the loss of lives in the region as you all are well aware of those. Our project has also been badly hit due to the same and we have been assessing the damage over the last one week. After analyzing damage we have made changes in project schedule. Now we will be making only one unit of 150 MW operational on April 1 2016 and 1 unit each will be added in each of subsequent year(s).Development as on September 30 2015Post the flash floods lot of environmentalists started raising issues of changes in environment due to construction of large number of dams. A few Public InterestLitigations (PILs) have been filed in various courts.Honorable High Court of MP on September 27 2015 banned construction of any dams in the region and banned permissions for new dams till next hearing scheduled on November 30 2015. MCC in its press release has indicated that they will apply to the higher court on the matter.As a credit rating analyst on September 30 2015 on receipt of the high court order what rating action you will take: A. Put ratings on rating watch. B. Change rating outlook for long term to negative. C. No action wait for order if higher courts or hearing on November 30 2015. D. Immediately downgrade ratings of SPV. ,A
Alcatel Lucent 4a0 100,1,You are configuring your Alcatel-Lucent 7750SR Service Router from the Command Line Interface (CLI) and after entering a lengthy command wish to return directly to the ROOT context. Which control command allows you to do this quickly? [] A. Ctrl-z B. Ctrl-c C. Esc D. Shift-Page Down ,A
Alcatel Lucent 4a0 100,2,Which of the following best describes a repeater? [] A. A passive device simply used to connect two or more cables. Does not generate or amplify any signals. B. A device that receives and retransmits a signal out its ports but does not do any Layer 2 analysis of the data. C. A device that receives a signal and based on the Layer 2 destination address makes a decision on which ports the signal should be retransmitted. D. A device that receives a signal and based on the Layer 3 destination address makes a decision on which ports the signal should be retransmitted. ,B
Alcatel Lucent 4a0 100,3,How do protocols such as ATM and Frame-Relay support differentiating multiple customers or traffic types on the same physical wire? [] A. ATM and Frame-Relay are circuit switched protocols and use Virtual Circuits to create logical separation of traffic. B. ATM and Frame-Relay are point-to-point protocols and do not support different customers or traffic type on the same physical wire. C. ATM and Frame-Relay are circuit switched protocols and use VLAN's to create logical separation of traffic. D. ATM and Frame-Relay are circuit switched protocols and use IP Header information to create logical separation of traffic. ,A
Alcatel Lucent 4a0 100,4,Which of the following is a feature of Layer 3? [] A. Provides an universal addressing scheme B. Ensures data is delivered across the Layer 2 network. C. Provides reliable data transfers. D. Provides a physical interface to the network. ,A
Alcatel Lucent 4a0 100,5,The 201.148.26.0/24 network is subnetted using a /26 mask. How many subnets and host addresses will you obtain with this mask? A. 4 subnets 64 hosts B. 64 subnets 4 hosts C. 4 subnets 62 hosts D. 64 subnets 2 hosts E. 6 subnets 30 hosts ,C
Alcatel Lucent 4a0 100,6,What kind of information can a Dynamic Host Configuration Protocol (DHCP) client receive? A. Details of the configuration settings of each router on the network. B. A list of other DHCP clients. C. IP addresses and their lease times. D. Server time information ,C
Alcatel Lucent 4a0 100,7,Choose two true statements that characterize Link State Routing A. Routers send a copy of their routing table to their neighbors periodically. B. Routers flood link information throughout the entire area. C. Network converges quickly (within several seconds) after a topology change. D. Routers do not have precise knowledge of the entire network topology. ,B
Alcatel Lucent 4a0 100,8,Which statement accurately explains the purpose of the TCP protocol and what it provides? A. The primary purpose of TCP is to provide reliable communications between application services. B. The primary purpose of TCP is to provide unreliable communications between application services C. The primary purpose of TCP is to provide IP routing between application services. D. The primary purpose of TCP is to define the correct format for the application layer such as JPEG or HTML. ,A
Alcatel Lucent 4a0 100,9,Which of the following is the best description of well known ports? A. Well known ports apply to routers only and are used for communication and control traffic. Well known port numbers are assigned by IANA and can have any value. B. Well known ports are used by TCP and UDP. Well known port numbers range from 1024 to 65535 and are assigned by IANA. C. Well known port numbers are used by both TCP and UDP. Well known port numbers range from 1 to 1023 and are assigned by IANA. D. Well known ports numbers are used by TCP only. Well known port numbers are assigned by IANA and can have any value. ,C
Alcatel Lucent 4a0 100,10,Which organization first considered cross-platform networking support to be a necessity? A. IBM. B. US Military. C. Alcatel-Lucent. D. NASA. E. Bell Labs ,B
Alcatel Lucent 4a0 101,1,When a router receives an IP packet but does not find a match in the routing table for the destination IP address what actions are performed by the router? [] A. The packet is flooded out all router interfaces. B. The packet is dropped and an ICMP unreachable message is sent back to the source. C. The packet is silently discarded. D. The packet is flooded out all interfaces and an ICMP unreachable message is sent. ,B
